field_name,code_value,mapped_value
occ_code,423,"Sheriffs, bailiffs, other law enforcement officers"
occ_code,424,Correctional institution officers
occ_code,425,Crossing guards
occ_code,426,"Guards and police, excluding public service"
occ_code,427,"Protective service occupations, n.e.c."
occ_code,433,"Supervisors, food preparation & service occupation"
occ_code,434,Bartenders
occ_code,435,Waiters and waitresses
occ_code,436,"Cooks, except short order"
occ_code,437,Short-order cooks
occ_code,438,"Food counter, fountain and related occupations"
occ_code,439,"Kitchen workers, food preparation"
occ_code,443,Waiters'/waitresses' assistants
occ_code,444,Miscelaneous food preparation occupations
occ_code,445,Dental assistants
occ_code,446,"Health aides, except nursing"
occ_code,447,"Nursing aides, orderlies, and attendants"
occ_code,448,"Supervisors, cleaning and building service workers"
occ_code,449,Maids and housemen
occ_code,453,Janitors and cleaners
occ_code,454,Elevator operators
occ_code,455,Pest control occupations
occ_code,456,"Supervisors, personal service occupations"
occ_code,457,Barbers
occ_code,458,Hairdresssers and cosmetologists
occ_code,459,"Attendants, amusement and recreation facilities"
occ_code,463,Guides
occ_code,464,Ushers
occ_code,465,Public transportation attendants
occ_code,466,Baggage porters and bellhops
occ_code,467,Welfare service aides
occ_code,468,"Child care workers, except private household"
occ_code,469,"Personal service occupations, n.e.c."
occ_code,473,"Farmers, except horticultural"
occ_code,474,Horticultural specialty farmers
occ_code,475,"Managers, farms, except horticultural"
occ_code,476,"Managers, horticultural specialty farms"
occ_code,477,"Supervisors, farm workers"
occ_code,479,Farm workers
occ_code,483,Marine life cultivation workers
occ_code,484,Nursery workers
occ_code,485,"Supervisors, related agricultural occupations"
occ_code,486,"Groundskeepers and gardeners, except farm"
occ_code,487,"Animal caretakers, except farm"
occ_code,488,"Graders and sorters, agricultural products"
occ_code,489,"Inspectors, agricultural products"
occ_code,494,"Supervisors, forestry and logging workers"
occ_code,495,"Forestry workers, except logging"
occ_code,496,Timber cutting and logging occupations
occ_code,497,"Captains and other officers, fishing vessels"
occ_code,498,Fishers
occ_code,499,Hunters and trappers
occ_code,503,"Supervisors, mechanics and repairers"
occ_code,505,Automobile mechanics
occ_code,506,Automobile mechanic apprentices
occ_code,507,"Bus, truck and stationary engine mechanics"
occ_code,508,Aircraft engine mechanics
occ_code,509,Small engine repairers
occ_code,514,Automobile body and related repairers
occ_code,515,"Aircraft mechanics, excluding engine"
occ_code,516,Heavy equipment mechanics
occ_code,517,Farm equipment mechanics
occ_code,518,Industrial machinery repairers
occ_code,519,Machinery maintenance occupations
occ_code,523,"Electronic repairers, communica. & indus. equip."
occ_code,525,Data processing equipment repairers
occ_code,526,Household appliance and power tool repairers
occ_code,527,Telephone line installers and repairers
occ_code,529,Telephone installers and repairers
occ_code,533,Misc. electrical & electronic equipment repairers
occ_code,534,"Heating, air conditioning, and refrig. mechanics"
occ_code,535,"Camera, watch and musical instrument repairers"
occ_code,536,Locksmiths and safe repairers
occ_code,538,Office machine repairers
occ_code,539,Mechanical controls and valve repairers
occ_code,543,Elevator installers and repairers
occ_code,544,Millwrights
occ_code,547,Specified mechanics and repairers
occ_code,549,Not specified mechanics and repairers
occ_code,553,"Supervisors; brickmasons, stonemasons, tilesetters"
occ_code,554,Supervisors; carpenters and related workers
occ_code,555,Supervisors; electricians & power transm. install.
occ_code,556,"Supervisors; painters, paperhangers and plasterers"
